_type,evt_block_time,evt_index,index,start,place_in_line,amount,price_per_pod,filled_beans,_from,_to,weather,yield_to_maturity,amount_classification
pod-listing-filled,2022-02-05T22:37:02+00:00,97,222197249.91035,0,199627382.19737,20000,0.2,4000.0,\xeafc0e4acf147e53398a4c9ae5f15950332cce06,,23.0399999997073570,4.6079999999414714,"< 25,000 pods"
pod-listing-filled,2022-02-05T23:06:54+00:00,284,387265643.983999,0,364695776.271019,35453.723781,0.05,1772.68618905,\xdc2665529774cb5be9d086140b1f698bf99fd98c,,25.0199999996408784,1.2509999999820439,"< 50,000 pods"
pod-listing-filled,2022-02-05T23:12:59+00:00,299,250515993.903243,0,227946126.190263,10157.18984,0.1,1015.718984,\xd368266f4e53b9e00147c758ded2ee063591f9a8,,22.4899999903788641,2.2489999990378864,"< 25,000 pods"
pod-listing-filled,2022-02-06T00:03:45+00:00,105,387301097.70778,0,364729648.295964,20044.08096,0.05,1002.2040480,\xdc2665529774cb5be9d086140b1f698bf99fd98c,,25.0199999994495472,1.2509999999724774,"< 25,000 pods"
pod-listing-filled,2022-02-06T01:01:35+00:00,261,50199919.316519,0,27625283.387214,995.305321,0.6,597.1831926,\xeafc0e4acf147e53398a4c9ae5f15950332cce06,,22.0599999999534817,13.2359999999720890,"< 10,000 pods"
pod-listing-filled,2022-02-06T01:12:01+00:00,58,128557679.667004,0,105983043.737699,6285.570368,0.35,2199.94962880,\x22aa1f4173b826451763ebfce22cf54a0603163c,,23.8400000000000000,8.3440000000000000,"< 10,000 pods"
pod-order-filled,2022-02-06T02:06:10+00:00,146,40016336.000939,0,17439026.641266,5931.754665,0.2,1186.3509330,\x82f402847051bddaab0f5d4b481417281837c424,\x36998db3f9d958f0ebaef7b0b6bf11f3441b216f,17.5400000000000000,3.5080000000000000,"< 10,000 pods"
pod-order-filled,2022-02-06T02:06:57+00:00,20,30093619.332251,0,7516309.972578,1108.739846,0.2,221.7479692,\x82f402847051bddaab0f5d4b481417281837c424,\x36998db3f9d958f0ebaef7b0b6bf11f3441b216f,14.6300000000000000,2.9260000000000000,"< 10,000 pods"
pod-order-filled,2022-02-06T02:06:57+00:00,20,30093619.332251,0,7516309.972578,1108.739846,0.2,221.7479692,\x82f402847051bddaab0f5d4b481417281837c424,\x36998db3f9d958f0ebaef7b0b6bf11f3441b216f,14.6300000000000000,2.9260000000000000,"< 10,000 pods"
pod-order-filled,2022-02-06T02:06:57+00:00,20,30093619.332251,0,7516309.972578,1108.739846,0.2,221.7479692,\x82f402847051bddaab0f5d4b481417281837c424,\x36998db3f9d958f0ebaef7b0b6bf11f3441b216f,14.6300000000000000,2.9260000000000000,"< 10,000 pods"
pod-order-filled,2022-02-06T02:06:57+00:00,20,30093619.332251,0,7516309.972578,1108.739846,0.2,221.7479692,\x82f402847051bddaab0f5d4b481417281837c424,\x36998db3f9d958f0ebaef7b0b6bf11f3441b216f,14.6300000000000000,2.9260000000000000,"< 10,000 pods"
pod-order-filled,2022-02-06T02:07:09+00:00,50,30475915.918693,0,7898606.55902,1107.800543,0.2,221.5601086,\x82f402847051bddaab0f5d4b481417281837c424,\x36998db3f9d958f0ebaef7b0b6bf11f3441b216f,14.6200000000000000,2.9240000000000000,"< 10,000 pods"
pod-order-filled,2022-02-06T02:07:34+00:00,191,32955503.192184,0,10378193.832511,1069.723017,0.2,213.9446034,\x82f402847051bddaab0f5d4b481417281837c424,\x36998db3f9d958f0ebaef7b0b6bf11f3441b216f,15.5500000000000000,3.1100000000000000,"< 10,000 pods"
pod-order-filled,2022-02-06T02:07:34+00:00,191,32955503.192184,0,10378193.832511,1069.723017,0.2,213.9446034,\x82f402847051bddaab0f5d4b481417281837c424,\x36998db3f9d958f0ebaef7b0b6bf11f3441b216f,15.5500000000000000,3.1100000000000000,"< 10,000 pods"
pod-order-filled,2022-02-06T02:07:34+00:00,191,32955503.192184,0,10378193.832511,1069.723017,0.2,213.9446034,\x82f402847051bddaab0f5d4b481417281837c424,\x36998db3f9d958f0ebaef7b0b6bf11f3441b216f,15.5500000000000000,3.1100000000000000,"< 10,000 pods"
pod-order-filled,2022-02-06T02:08:28+00:00,113,32537929.648192,0,9960620.288519,597.940445,0.2,119.5880890,\x82f402847051bddaab0f5d4b481417281837c424,\x36998db3f9d958f0ebaef7b0b6bf11f3441b216f,15.1000000000000000,3.0200000000000000,"< 10,000 pods"
pod-order-filled,2022-02-06T02:09:38+00:00,289,128200293.224284,4370.751822,105627354.616433,16604.041484,0.2,3320.8082968,\x64298a72f4e3e23387efc409fc424a3f17356fc4,\x36998db3f9d958f0ebaef7b0b6bf11f3441b216f,23.8799999999987146,4.7759999999997429,"< 25,000 pods"
pod-listing-filled,2022-02-06T07:08:45+00:00,169,387321141.78874,0,364736684.90256,21300.990257,0.025,532.524756425,\xdc2665529774cb5be9d086140b1f698bf99fd98c,,,,"< 25,000 pods"
pod-listing-filled,2022-02-06T16:00:48+00:00,91,27205591.471716,0,4621134.585536,12000,0.7,8400.0,\x8d06ffb1500343975571cc0240152c413d803778,,14.4300000000000000,10.1010000000000000,"< 25,000 pods"
pod-listing-filled,2022-02-06T16:00:48+00:00,91,27205591.471716,0,4621134.585536,12000,0.7,8400.0,\x8d06ffb1500343975571cc0240152c413d803778,,14.4300000000000000,10.1010000000000000,"< 25,000 pods"
pod-listing-filled,2022-02-06T16:00:48+00:00,91,27205591.471716,0,4621134.585536,12000,0.7,8400.0,\x8d06ffb1500343975571cc0240152c413d803778,,14.4300000000000000,10.1010000000000000,"< 25,000 pods"
pod-listing-filled,2022-02-06T16:00:48+00:00,91,27205591.471716,0,4621134.585536,12000,0.7,8400.0,\x8d06ffb1500343975571cc0240152c413d803778,,14.4300000000000000,10.1010000000000000,"< 25,000 pods"
pod-listing-filled,2022-02-06T16:54:54+00:00,382,327752156.718788,0,305167699.832608,31843.087062,0.0349,1111.3237384638,\xdc2665529774cb5be9d086140b1f698bf99fd98c,,21.4400000000000000,0.74825600000000000002,"< 50,000 pods"
pod-listing-filled,2022-02-06T17:50:10+00:00,283,321145443.111092,0,298560986.224912,10000,0.05,500.00,\x4949d9db8af71a063971a60f918e3c63c30663d7,,21.3599999996614043,1.0679999999830702,"< 25,000 pods"
pod-order-filled,2022-02-06T18:16:21+00:00,90,117206229.423574,27103.616715,94648348.59046,5555.555555,0.18,999.99999990,\x57b649e1e06fb90f4b3f04549a74619d6f56802e,\x88673cb5439fe3ea7eaa633c2e02fb07284e0765,23.6599999999568181,4.2587999999922273,"< 10,000 pods"
pod-order-filled,2022-02-06T19:37:38+00:00,489,47521517.557564,59787.790203,24989659.580649,16000,0.25,4000.00,\x6a93946254899a34fdcb7fbf92dfd2e4ec1399e7,\xeafc0e4acf147e53398a4c9ae5f15950332cce06,19.6399999999924941,4.9099999999981235,"< 25,000 pods"
pod-order-filled,2022-02-06T20:35:44+00:00,137,47521517.557564,39787.790203,24964000,20000,0.25,5000.00,\x6a93946254899a34fdcb7fbf92dfd2e4ec1399e7,\xeafc0e4acf147e53398a4c9ae5f15950332cce06,19.6399999999924941,4.9099999999981235,"< 25,000 pods"
pod-order-filled,2022-02-06T20:51:53+00:00,262,26012876.542778,0,3415571.195011,1501.799049,0.4,600.7196196,\x6a93946254899a34fdcb7fbf92dfd2e4ec1399e7,\xeafc0e4acf147e53398a4c9ae5f15950332cce06,14.2399999895635781,5.6959999958254312,"< 10,000 pods"
pod-listing-filled,2022-02-07T04:27:30+00:00,292,81428887.071705,0,58797995.686576,51666.906449,0.2,10333.3812898,\x57b649e1e06fb90f4b3f04549a74619d6f56802e,,23.6199999999969719,4.7239999999993944,"< 100,000 pods"
pod-order-filled,2022-02-07T06:06:30+00:00,552,27217591.471716,419019.066714,4995770.169871,10998.200951,0.4,4399.2803804,\x8d06ffb1500343975571cc0240152c413d803778,\xeafc0e4acf147e53398a4c9ae5f15950332cce06,,,"< 25,000 pods"
pod-listing-filled,2022-02-07T06:37:01+00:00,154,50200914.62184,0,27560074.253281,9004.694677,0.49,4412.30039173,\xeafc0e4acf147e53398a4c9ae5f15950332cce06,,,,"< 10,000 pods"
pod-order-filled,2022-02-07T07:16:25+00:00,56,27783526.116217,256305.463451,5392222.840287,33333.333333,0.45,14999.99999985,\x8d06ffb1500343975571cc0240152c413d803778,\xe1d045be479ce7127186896a0149aac7137b455e,14.4400000000000000,6.4980000000000000,"< 50,000 pods"
